"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2021","4,509.77","4,480.07","4,513.39","4,473.10","","0.66%"
"12/27/2021","4,480.07","4,486.61","4,501.05","4,458.10","","-0.15%"
"12/24/2021","4,486.61","4,510.93","4,526.66","4,472.67","","-0.54%"
"12/23/2021","4,510.93","4,476.88","4,510.93","4,473.11","","0.76%"
"12/22/2021","4,476.88","4,471.00","4,492.73","4,466.02","","0.13%"
"12/21/2021","4,471.00","4,439.24","4,474.69","4,435.26","","0.72%"
"12/20/2021","4,439.24","4,505.70","4,521.64","4,432.30","","-1.48%"
"12/17/2021","4,505.70","4,576.53","4,576.53","4,505.70","","-1.55%"
"12/16/2021","4,576.53","4,550.19","4,576.53","4,533.84","","0.58%"
"12/15/2021","4,550.19","4,584.67","4,594.68","4,548.06","","-0.75%"
"12/14/2021","4,584.67","4,617.01","4,617.01","4,575.34","","-0.70%"
"12/13/2021","4,617.01","4,591.39","4,668.52","4,591.39","","0.56%"
"12/10/2021","4,591.39","4,605.46","4,605.46","4,570.26","","-0.31%"
"12/09/2021","4,605.46","4,540.09","4,633.43","4,540.09","","1.44%"
"12/08/2021","4,540.09","4,471.83","4,540.09","4,470.17","","1.53%"
"12/07/2021","4,471.83","4,453.30","4,490.29","4,447.34","","0.42%"
"12/06/2021","4,453.30","4,470.26","4,499.46","4,450.09","","-0.38%"
"12/03/2021","4,470.26","4,429.43","4,470.26","4,428.74","","0.92%"
"12/02/2021","4,429.43","4,415.82","4,438.89","4,404.55","","0.31%"
"12/01/2021","4,415.82","4,405.65","4,416.74","4,397.41","","0.23%"
"11/30/2021","4,405.65","4,424.86","4,440.40","4,386.52","","-0.43%"
"11/29/2021","4,424.86","4,424.39","4,427.73","4,386.45","","0.01%"
"11/26/2021","4,424.39","4,452.76","4,452.76","4,415.84","","-0.64%"
"11/25/2021","4,452.76","4,466.66","4,469.89","4,446.80","","-0.31%"
"11/24/2021","4,466.66","4,467.95","4,482.60","4,450.14","","-0.03%"
"11/23/2021","4,467.95","4,468.92","4,479.06","4,454.30","","-0.02%"
"11/22/2021","4,468.92","4,438.48","4,471.46","4,438.48","","0.69%"
"11/19/2021","4,438.48","4,389.57","4,439.93","4,380.93","","1.11%"
"11/18/2021","4,389.57","4,431.94","4,431.94","4,381.21","","-0.96%"
"11/17/2021","4,431.94","4,424.62","4,435.90","4,410.97","","0.17%"
"11/16/2021","4,424.62","4,420.06","4,452.67","4,416.72","","0.10%"
"11/15/2021","4,420.06","4,433.40","4,445.54","4,401.01","","-0.30%"
